Feature,Mean_Absolute_SHAP
cat__Make_Dodge,4.774858818539323e-05
cat__PolicyType_Sport - All Perils,4.2688447216293635e-05
cat__PolicyType_Utility - Collision,4.230342646824182e-05
cat__PolicyType_Utility - Liability,4.032798401151642e-05
cat__AgentType_Internal,3.656521982364315e-05
cat__AgentType_External,3.384584623354508e-05
cat__VehiclePrice_60000 to 69000,3.106712491016023e-05
cat__Days_Policy_Claim_8 to 15,2.916986298287392e-05
cat__Make_BMW,2.801245274959512e-05
cat__AgeOfVehicle_2 years,2.7008939413841543e-05
cat__Days_Policy_Accident_15 to 30,2.228265189761064e-05
cat__Make_Nisson,1.7449030442135573e-05
cat__Days_Policy_Accident_1 to 7,1.0939182139151947e-05
cat__AgeOfPolicyHolder_18 to 20,6.524993060833166e-06
cat__Make_Porche,2.583419411075277e-06
cat__Make_Jaguar,2.02489374276699e-06
cat__Make_Ferrari,1.6452786927619417e-06
cat__Days_Policy_Claim_none,1.186678441175554e-06
cat__DayOfWeekClaimed_0,8.108268391994044e-07
cat__MonthClaimed_0,5.38056385226571e-07
cat__Make_Lexus,1.5223003706918188e-07
cat__Make_Mecedes,0.0
cat__PolicyType_Sport - Liability,0.0
cat__NumberOfCars_more than 8,0.0
