iter	Logloss
0	0.6636607779
1	0.6390880539
2	0.6186479323
3	0.6065705412
4	0.5966671548
5	0.5804187447
6	0.5673061243
7	0.553881571
8	0.5500099704
9	0.5438278755
10	0.5347603937
11	0.5273859821
12	0.5198393059
13	0.5161934375
14	0.5128545235
15	0.5103701332
16	0.5053658512
17	0.500348455
18	0.49855066
19	0.4964584039
20	0.4947394526
21	0.4927440696
22	0.4914203048
23	0.4897556841
24	0.4876336945
25	0.4861113944
26	0.4846035243
27	0.4832067151
28	0.4813871437
29	0.4793416191
30	0.478278814
31	0.4773469518
32	0.476758461
33	0.4737453941
34	0.4730504944
35	0.472129831
36	0.4703779255
37	0.4686265358
38	0.4676316598
39	0.4663330289
40	0.4652878639
41	0.4632744619
42	0.4625963288
43	0.4607456451
44	0.4589590804
45	0.4577209269
46	0.4567787396
47	0.4530635317
48	0.4516838364
49	0.4491443471
50	0.4484143145
51	0.4476623371
52	0.4462970086
53	0.4458338404
54	0.4443605452
55	0.4433916347
56	0.4427875562
57	0.4425074303
58	0.4401286068
59	0.4394663876
60	0.4388943055
61	0.4384030562
62	0.4360995189
63	0.4350730676
64	0.4341405108
65	0.4337375883
66	0.4307642116
67	0.4296003127
68	0.428344277
69	0.4274571361
70	0.4268399539
71	0.4219967378
72	0.421742451
73	0.4166634407
74	0.4115860829
75	0.4103542339
76	0.4098130956
77	0.4083624926
78	0.4076341862
79	0.4062550277
80	0.4057680517
81	0.4054845156
82	0.4047592194
83	0.4045465173
84	0.4040510054
85	0.4007348046
86	0.3997431177
87	0.3992632988
88	0.3986816809
89	0.3947691481
90	0.3943758561
91	0.391537885
92	0.3912637268
93	0.3904886889
94	0.3895246094
95	0.3891377167
96	0.3867437897
97	0.3846223895
98	0.3841875654
99	0.3836748344
100	0.3817350661
101	0.3804354038
102	0.3781316771
103	0.3754847789
104	0.3745938911
105	0.3741897371
106	0.3729768649
107	0.3722281503
108	0.3716110838
109	0.3701264321
110	0.3692246402
111	0.3686641778
112	0.3682577926
113	0.367610919
114	0.3666778675
115	0.3663034365
116	0.3660211319
117	0.3655536378
118	0.3651344646
119	0.3640188339
120	0.3636838826
121	0.3629137494
122	0.362439614
123	0.3613745881
124	0.3612855456
125	0.3591289389
126	0.358425056
127	0.3578302502
128	0.3575248061
129	0.3567601459
130	0.356358318
131	0.3556862473
132	0.3549074519
133	0.3542310133
134	0.3537243237
135	0.3517851448
136	0.3515135758
137	0.3508634763
138	0.350591923
139	0.3498722946
140	0.3494146941
141	0.348973776
142	0.3481069012
143	0.3473731743
144	0.3466563929
145	0.3465077098
146	0.3454307906
147	0.344658726
148	0.343491196
149	0.3430246176
150	0.3422219407
151	0.3415087168
152	0.340644568
153	0.3401314686
154	0.3398730191
155	0.3373309669
156	0.3368819865
157	0.3364767485
158	0.3344955587
159	0.3340627975
160	0.333681441
161	0.333000645
162	0.3325456916
163	0.3322448785
164	0.3308616573
165	0.3294040288
166	0.3290278296
167	0.3280026465
168	0.3274804219
169	0.3270465713
170	0.3229516278
171	0.3224947431
172	0.3210515708
173	0.3206488273
174	0.3201617565
175	0.3177451426
176	0.3167396257
177	0.3165837435
178	0.3159416536
179	0.3143768004
180	0.3137967508
181	0.3095387311
182	0.3091707941
183	0.3073715099
184	0.3068324819
185	0.3064391215
186	0.3052483099
187	0.3048399828
188	0.3040767014
189	0.3026175152
190	0.3022921839
191	0.2996572843
192	0.2957879519
193	0.2954692251
194	0.2946543707
195	0.2932575879
196	0.2925444376
197	0.2906470487
198	0.2899499493
199	0.2890386795
200	0.2885191967
201	0.2875346458
202	0.2854163295
203	0.2847922112
204	0.2841186564
205	0.2838191537
206	0.2832750737
207	0.280780095
208	0.2796643854
209	0.2785077647
210	0.277868064
211	0.2744560952
212	0.2733968949
213	0.271849082
214	0.2699728591
215	0.2666786821
216	0.2653394191
217	0.2625737134
218	0.2614806276
219	0.260230828
220	0.2594169682
221	0.2583075315
222	0.2560031891
223	0.2544519712
224	0.2534789506
225	0.251911882
226	0.2498240306
227	0.2472879724
228	0.2462096796
229	0.2447937306
230	0.2426027278
231	0.2419852561
232	0.2404312807
233	0.238022908
234	0.2372560902
235	0.2365349198
236	0.236066389
237	0.2355868753
238	0.2341735365
239	0.2329317728
240	0.2321374423
241	0.2306939964
242	0.2294699413
243	0.2281813567
244	0.2264660207
245	0.2257127803
246	0.2241526108
247	0.2225701755
248	0.2220897251
249	0.2216955805
250	0.2189069249
251	0.2183018518
252	0.2165633185
253	0.2133978742
254	0.2114609056
255	0.2101311309
256	0.2091130155
257	0.2088107236
258	0.2078348033
259	0.2046036508
260	0.20245548
261	0.2018236205
262	0.199762887
263	0.198424487
264	0.1965539319
265	0.1953513217
266	0.1944973823
267	0.1937248441
268	0.1930782599
269	0.1913662657
270	0.1904366454
271	0.1895836532
272	0.1891727474
273	0.1885923452
274	0.1880814876
275	0.187481835
276	0.1863275613
277	0.1861056445
278	0.1850071067
279	0.1824607444
280	0.1822529629
281	0.1796479915
282	0.1783548627
283	0.1779267589
284	0.1765464452
285	0.176098691
286	0.1756240478
287	0.1748904841
288	0.1733294621
289	0.1721412739
290	0.1709982779
291	0.1704236751
292	0.1695339055
293	0.1687674981
294	0.1681450218
295	0.1678931636
296	0.167423033
297	0.1669903008
298	0.1661105038
299	0.1654335126
