Model,Precision,Recall,F1 Score,ROC-AUC,PR-AUC
Decision Tree,0.2602040816326531,0.2756756756756757,0.2677165354330709,0.6128292141745058,0.11518200086849337
Naive Bayes,0.14320096269554752,0.6432432432432432,0.234251968503937,0.7908579845799577,0.14948975429388864
Logistic Regression,0.128982128982129,0.8972972972972973,0.22554347826086957,0.8119407437793089,0.1648952744652929
Gradient Boosting,0.8947368421052632,0.0918918918918919,0.16666666666666666,0.9106756290612792,0.4822099899368353
SVM,0.06464646464646465,0.518918918918919,0.11497005988023952,0.522564164716631,0.061460952611147625
Random Forest,0.5,0.05945945945945946,0.10628019323671498,0.8603814922200572,0.28635515021621966
Extra Trees,0.8,0.021621621621621623,0.042105263157894736,0.8410980487213672,0.26787427931949076
AdaBoost,0.1,0.010810810810810811,0.01951219512195122,0.8087439284748702,0.1653960227528227
KNN,0.1111111111111111,0.005405405405405406,0.010309278350515464,0.5281019550077847,0.06506084831788654
