Model,Best Threshold,Precision,Recall,F1 Score
Gradient Boosting,0.17,0.43859649122807015,0.5405405405405406,0.48426150121065376
Random Forest,0.27,0.24065420560747663,0.5567567567567567,0.3360522022838499
Extra Trees,0.16,0.24489795918367346,0.4540540540540541,0.3181818181818182
Decision Tree,0.01,0.2602040816326531,0.2756756756756757,0.2677165354330709
AdaBoost,0.42000000000000004,0.16494845360824742,0.518918918918919,0.2503259452411995
Naive Bayes,0.45,0.14801864801864803,0.6864864864864865,0.24352828379674019
Logistic Regression,0.44,0.12929145361577793,0.9567567567567568,0.2277992277992278
SVM,0.060000000000000005,0.06656731246895181,0.7243243243243244,0.12192902638762511
KNN,0.01,0.07219251336898395,0.2918918918918919,0.1157556270096463
